Model,scenario,obj_value,number_of_EVs,Demand,AvailabeType_4,InstalledType_4,AvailabeType_8,InstalledType_8,AvailabeType_19,InstalledType_19,Time
FCFS,1109,11100.0,35,658.0,2,0,4,3,4,3,8.978628158569336
FCFS,1110,9900.0,35,610.0,2,1,4,3,4,2,12.931349515914917
FCFS,1111,8700.0,35,525.0,2,2,4,3,3,1,10.726566076278687
FCFS,1112,8700.0,35,512.0,2,2,4,3,3,1,41.51032781600952
FCFS,1113,10400.0,35,623.0,2,0,4,4,4,2,19.84423589706421
FCFS,1114,9200.0,35,608.0,2,1,4,4,4,1,62.86405158042908
FCFS,1115,9400.0,35,581.0,2,2,4,2,4,2,20.500760793685913
FCFS,1116,10100.0,35,735.0,3,2,5,1,4,3,48.4057514667511
FCFS,1117,10900.0,35,628.0,2,2,4,3,4,2,22.839781045913696
FCFS,1118,11400.0,35,674.0,3,1,5,4,4,2,24.1167733669281
FCFS,1119,9900.0,35,593.0,2,1,4,3,4,2,20.78656792640686
FCFS,1120,9900.0,35,629.0,2,1,4,3,4,2,16.40888285636902
FCFS,1121,10400.0,35,676.0,3,3,5,2,4,2,14.722299337387085
FCFS,1122,10900.0,35,594.0,2,2,4,3,4,2,12.934695482254028
FCFS,1123,9400.0,35,585.0,2,2,4,2,4,2,56.19395661354065
FCFS,1124,10900.0,35,702.0,3,2,5,3,4,2,48.656108379364014
FCFS,1125,10100.0,35,621.0,2,2,4,1,4,3,13.568656921386719
FCFS,1126,13100.0,35,705.0,3,2,5,3,4,3,12.610184669494629
FCFS,1127,9400.0,35,637.0,2,2,4,2,4,2,20.589160680770874
FCFS,1128,14600.0,35,735.0,3,2,5,4,4,3,7.559887647628784
FCFS,1129,10400.0,35,713.0,3,3,5,2,4,2,14.691953659057617
FCFS,1130,8900.0,35,608.0,2,0,4,3,4,2,11.375283002853394
FCFS,1131,8100.0,35,585.0,2,0,4,1,4,3,150.25800848007202
FCFS,1132,8100.0,35,640.0,2,0,4,1,4,3,55.51052260398865
FCFS,1133,8400.0,35,538.0,2,1,4,2,3,2,97.6417121887207
FCFS,1134,13100.0,35,613.0,2,2,4,3,4,3,5.543032884597778
FCFS,1135,10900.0,35,656.0,2,2,4,3,4,2,12.660940885543823
FCFS,1136,9900.0,35,635.0,2,1,4,3,4,2,36.413389682769775
FCFS,1137,8400.0,35,584.0,2,1,4,2,4,2,59.61141920089722
FCFS,1138,12100.0,35,598.0,2,1,4,3,4,3,7.312438488006592
FCFS,1139,9100.0,35,642.0,2,1,4,1,4,3,30.688544988632202
FCFS,1140,10400.0,35,638.0,2,0,4,4,4,2,17.621930599212646
FCFS,1141,9900.0,35,719.0,3,1,5,3,4,2,27.59652066230774
FCFS,1142,9900.0,35,582.0,2,1,4,3,4,2,19.46272087097168
FCFS,1143,10400.0,35,614.0,2,0,4,4,4,2,67.25937509536743
FCFS,1144,9200.0,35,629.0,2,1,4,4,4,1,100.73284578323364
